tagalog,english,cebuano
Ipinagkanta namin siya.,We made him sing.,Gipagkanta namo siya.
Magiting ang sombrero dahil ng manibagong korte niya.,The hat is brave because of his new court.,Isog ang kalo tungod sa bag-ong estilo sa niya.
Buksan natin ang bintana.,Let's open the window.,Abrehan nato ang bintana.
"Sa wakas, paalam na!","Finally, goodbye!","Sa kataposan, panamilit na!"
Itong larawan ay makulay-kulay kung ikontrast sa isang ito.,This picture is colorful in contrast to this one.,Kining hulagway kay mabulokan kon ikailanan sa kini nga usa.
Talagang napunuan ang kuwarto ng muwebles.,The room was really filled with furniture.,Tinuod nga napuno ang kuwarto sa muwebles.
Interesado siya sa musika.,He is interested in music.,Interesadi siya sa tukar.
Mga tiya ko ang mga babaeng ito.,These girls are my aunts.,Mga insi nako ang mga babaeng kini.
"Patindig sa beranda ng bantog na palasyo, pinapanuod niya ang Toreng Eiffel.","Standing on the balcony of the famous palace, he watched the Eiffel Tower.","Pagtindog sa balkon sa bantog na palasyo, ginatan aw niya ang Toreng Eiffel"
"Hindot, matanda na kami!","Damn, we're old!",Hilom. tiguwang na kami!
"Kantot, matanda na kami!","Damn, we're old!","Pakighilawas, tigulang na kami!"
Naglalaro kami sa parke.,We play in the park.,Nagdula kami sa suruyanan.
"Kung ako ikaw, pareho ang gagawin ko.","If I were you, I would do the same.","Kon ako ikaw, pareho ang buhaton nako."
Di pa ako sanay gumawa ng sulat para sa bisnes.,I'm not used to writing a letter for business.,Dili pa ko anad magbuhat og sulat para sa akong negosyo.
Bawat taon akong pumupunta sa Konggresong Unibersal ng Esperanto.,Every year I go to the Universal Congress of Esperanto.,Kada tuig ko muadto sa Konggresong Unibersal ng Esperanto.
Sinabi niya sa akin ang istorya ng buhay niya.,He told me the story of his life.,Gisulti niya kanako ang estorya sa kinabuhi niya.
"Isang napkin, nga?","A napkin, right?","Usa ka tagnipa, beh?"
Di ko alam kung bakit ka nag-aaral ng Suweko.,I don't know why you study Swedish.,Wala ko kabalo nagno ka nagtuon og Suweko.
Binuhos ko ang tubig paloob ng balde.,I poured the water into the bucket.,Gibubo ko ang tubig sa sulod sa balde.
Sulatan mo ako agad!,Write me right away!,Sulatan ko nimo dayon.
Dapat mag-ingles siya.,He must speak English.,Kinahangkan mag-ingles siya.
Ginising kita.,I woke you up.,Gipukaw kita.
Anong binili mo?,what did you buy,Unsang gipalit nimo?
Hindi matuwid ang buhay.,Life is not fair.,Dili tul-id ang kinabuhi.
Bumili ako ng relo at walang laman ang kahon.,I bought a watch and the box is empty.,Nipalit ko og relo ug walay sulod ang kahon.
"Kung pinag-uusapan ang dayuhang wika, nakakapagpranses ka ba?","Speaking of foreign languages, can you speak French?","Kon estoryahan ang langgyaw na pinulungan, makapagpranses ba ka?"
Di matuwid ang kaugalian niya.,His behavior is not righteous.,dili tama ang batasan niya.
Huwag mong sabihin ito sa kung sinuman.,Don't tell this to anyone.,Ayaw nimo isulti kini sa bisan kinsa man.
Ay! Pakitingin nga.,Oh! Please take a look.,Ay! Pakitan aw beh.
Ba't umiiyak ang beybi?,Why is the baby crying?,Nganong nihilak ang akong bata.
Malimit tumunog ang telepono.,The phone rang frequently.,Kanunay mutingog ang telepono.
Mukhang bisi ka.,You look good.,Murag bisi ka.
Pumunta ako sa su.,I went to su.,Niadto ko sa su.
Hindi ko nahipo ang raketa ng tenis nang ilang taon na.,I haven't touched a tennis racket in years.,Wala nako nagunitan ang raketa sa tenis sa pila katuig nah.
Nag-eeksersays siya sa bahay araw-araw.,He exercises at home every day.,Nagabansay siya sa balay adlaw-adlaw.
Pakigawa nang mabilis nga.,Please do it quickly.,Pakibuhat ug paspas beh.
Humingi si Tomas ng kape pa.,Tomas asked for more coffee.,Nangayo si Tomas og kape.
Pinatingin ni Maria sa akin ang sulat.,Maria made me look at the letter.,Gipatan-aw ni Maria sa ako ang sulat.
Isip mo bang maglaro kita?,Do you think I'll play with you?,Hunahuna mo ba nga magdula kita?
"Nang mas na binabasa mo ang libro, menos mong maiintindihan.","The more you read the book, the less you understand.","Kong mas ginabasa nimo ang libro, minos mong masabtan."
Sa loob ng bote'y konti na lang ang gatas.,There is only a little milk inside the bottle.,"Sa sulod sa botilya, gamay nalang ang gatas."
"Ipagdala mo ako ng tubig, at bilisan mo.","Bring me water, and hurry.","Dal-i ko og tubig, ug paspasan nimo."
Nilabas ni Tomas ang basura.,Tomas took out the trash.,Gigawas ni Tomas ang basura.
Handa na ang banyo.,The bathroom is ready.,Andam na ang kasilyas.
Nag-aaral ka araw-araw?,do you study every day?,Nagtuon ka adlaw-adlaw?
Parang gutom siya.,He seems hungry.,Murag gutom siya.
Gusto kong mag-aral ng kasaysayan.,I want to study history.,Guusto nako magtuon og kasaysayan.
Pinanuod nila ako sa katahimikan.,They watched me in silence.,Ginatan aw nila sa ako sa hilom.
Gaanong kataas yang tore?,How tall is the tower?,Unsa kataas ang kana nga tore?
Napapagod na ang mga bata.,The children are tired.,Nakapoy na ang mga bata.
Napalakad akong pauwi.,I walked home.,Nakalakaw ko pauli.
Hepe ko siya.,He is my boss.,Tsip ko siya
Sundan mo ang sabi ng puso mo; di siya nagsisinungaling.,Follow your heart; he is not lying.,Tumana ang sulti sa imong kasing-kasing; wala siya namakak.
Namamatay ang mga bulaklak kung walang tubig.,Flowers die without water.,Mamatay ang bulak kon walay tubig.
Puwede kong ulitin nang ulitin.,I can repeat over and over.,Mahimo nakong balikon ug balikon.
May dalawang taynga tayo.,We have two ears.,Aduna duha ka dalunggan kita.
"Pagka nagtitibi ako, Pranses ang pinapanuod ko.","When I'm sleeping, I watch French.","Pag nagtibi ko, Pranses ang ginatan aw nako."
Nakapunta na ako sa Kaharian ng Marukos.,I have been to the Kingdom of Marukos.,Nakaadto na ako sa gingharian sa Marukos.
Nakakapagbasa siya ng aklat.,He can read a book.,Makabasa na siya og libro.
Hindi siya kasing tangkad mo.,He is not as tall as you.,Dili siya parehas nimo.
Umuunlad ang kasaysayan nang pagpapalit ng bago ang luma.,History progresses as the new replaces the old.,Mulambo ang kasaysayan katong gikambyoan og bag o ang daan.
Mabilis na mabilis na naging talagang mabenta ang aklat niya.,His book quickly became a real seller.,Paspas na tinuod nga nahalin ang libro niya..
Talagang mas malaki ang Araw kaysa sa Tiyera.,The Sun is actually bigger than Earth.,Tinuod nga mas dako ang adlaw kaysa Tiyera.
Kumalagin ka ng kabayo mo.,Hold your horse.,Naog ka sa imong kabayo.
Ang ignoransiya'y ina ng pangamba at pareho ring ina ng admirasyon.,Ignorance is the mother of fear and also the mother of admiration.,Ang walay alamag nga inahan sa kabalaka ug sama pod nga inahang gidayeg.
Gawin mo ang kung anumang gusto mo; magkakaroon ng tsismis naman.,Do whatever you want; there will be gossip.,Buhata kon unsa man ang gusto nimo; aduna tabi na pod.
Binisita ko ang panaderya.,I visited the bakery.,Gibisita nako ang panaderya.
"Mas gusto mo ba ang karne, o isda?","Do you prefer meat, or fish?","Mas gusto ba nimo ang karne, o isda?"
Takot sila sa mga diyos.,They fear the gods.,Hadlok sila sa mga ginoo.
Kay ganda niya!,How beautiful she is!,Kaanyag niya!
Isip kong di siya paparini.,I think he will not come.,Hunahuna nako dili siya muadto.
Malamig itong dingding.,It's a cold wall.,Bugnaw kining bungbong.
Malamig itong pader.,It's a cold wall.,Bugnaw kining pader.
Gabi pa noon.,It was still night.,Gabii pa sauna.
Dapat pumili ka nung isa o yung iba.,You must choose one or the other.,Kinahanglan mupili ka og isa o katong lahi.
Nagbasa ako ng aklat kagabi.,I read a book last night.,Nagbasa ko og libro gabii.
Saan mo binili yang aklat?,Where did you buy that book?,Asa nimo gipalit ang kana nga libro?
Sa bahay ako nag-aaral ng Esperanto.,I study Esperanto at home.,Sa balay ko nagtuon og Esperanto.
Huwag mong alalahanin.,Don't worry.,Ayaw mo og kabalaka.
Tsa na walang yelo.,Tea without ice.,Tsa na walay bugnaw.
Paano ko maaalaman?,How do I know?,Unsaon nako pagkabalo?
Tiningnan niya ako sa mukha.,He looked me in the face.,Gitan aw niya ako sa nawong.
Di ka puwedeng lumangoy dito.,You can't swim here.,Dili ka mahimong mulangoy dinhi.
Suwerte mo naman!,Lucky you!,Swerte ba nimo!
Isip kong mahirap gawin ang trabaho nang magsarili.,I think it's hard to do the job alone.,Hunahuna ko nga lisod buhaton ang trabaho kon mag inusa ra.
Nakapasyal ka na ba sa Kobe?,Have you been to Kobe?,Nakasuroy na ba ka sa Kobe?
Nakatira ka ba rito?,do you live here,Nakapuyo ba ka dinhi?
Di ko naintindihan ang biro niya.,I didn't understand his joke.,Wala ko kasabot sa kantyaw niya.
Paraiso ng bata ang pulo.,The island is a children's paradise.,Paraiso sa bata ang isla.
Bigyan mo rin ako ng gatas.,Give me some milk too.,Tagai pod ako og gatas.
Maghanda ka nang mabilis.,Get ready quickly.,Mag andam ka og paspas.
Ba't ang tao hindi makahayberneyt?,Why can't people hibernate?,Nganong ang tao dili makahayberneyt?
Likwid ang tubig.,The water is liquid.,Likido ang tubig.
Mukhang pagod ka.,You look tired.,Murag gikapoy ka.
Maputik sa daan at biglang umulan naman.,The road was muddy and suddenly it rained.,Lapok ang dalan og kalit nga niulan na pod.
Di ko gusto ang polusyon sa malalaking lungsod.,I don't like pollution in big cities.,Dili nako gusto ang polusyon sa dagkong lungsod.
"Pagkatapos ng brodkast, pinatay ko ang radyo.","After the broadcast, I turned off the radio.","Pagkahuman og brodkas, gipalong nako ang radyo."
Gustong kumain ng karot ang koneho.,The rabbit wants to eat carrots.,Gusto mukaon og karot ang kuneho.
Mahal ni Tomas mag-aral ng musika.,Tomas loves to study music.,Gihigugma ni Tomas ang magtuon og musika.
Huwag matakot nang mag-ingles na may mali.,Don't be afraid to speak English wrong.,Ayaw kahadlok mag-ingles nga adunay mali.
Alam mo bang gumawa ng tinapay?,Do you know how to make bread?,Kabalo ba ka muhimo og pan?
"Sa malayo, parang ulap ang pulo.","In the distance, the island looks like a cloud.","Sa layo, murag panganod ang mga isla."
Gusto mo ng mansanas?,do you want an apple?,Gusto mo ang mansanas?
Narangha ang kurbata ko.,My tie is untied.,Kahil ang kurbata nako.
Iyon ay mga 07:00.,That was about 07:00.,Kato kay mga alas siyete.
"Kung di mapagod ang kamay, di magagawa ang tinapay.","If the hands are not tired, the bread cannot be made.","Kung dili kapuyon ang kamot, dili mahimo ang pan."
"Sa palengke, ipinagbibili ng magsasaka ang magsasakang tinapay.","In the market, the farmer sells the farmer's bread.","Sa palengke, gibaligya sa mag uuma ang gi umang pan."
Wala akong oras ngayon.,I don't have time now.,Wala koy oras karon.
Lumagpak na ang mga dahon.,The leaves have fallen.,Nahagbong na ang mga dahon.
"Mas gusto mo ba ang alak na pula, o puti?","Do you prefer red wine, or white?","Mas gusto ba nimo ang bino na pula, o puti?"
Nawawala ka ba?,are you missing,Nawala ba ka?
Nagbebenta ng gulay ang tindahan.,The store sells vegetables.,Nagabaligya og utanon ang tindahan.
Pipindutin mo dapat lamang ang butones.,You just have to press the button.,Pinduton lamang nimo ang butones.
Kumain na tayo!,Let's eat!,Mangaon na kita!
Gusto ko siyang pumigil nang managarilyo.,I want to stop him with a knife.,Gusto nako siyang pugngan sa panigarilyo.
Magaling na alak ito.,This is good wine.,Bantugan nga alak kini.
Walang banyo.,No bathroom.,Walay kasilyas.
Mukhang masaya ka ngayon.,You seem happy today.,Murag malipayon ka karon.
Maninirahan sila nang dalawa o tatlo sa mga malungkuting bahay ng magsasaka.,They would live in twos or threes in the poor peasant houses.,Magpuyo silang duha o tulo sa mga masulub-ong balay ssa mag-uuma.
"Para sa anong oras ba, po?","For what time, right?","Para sa unsang oras ba, palihug?"
Iniba niya ang opinyon niya.,He changed his opinion.,Gilahi niya ang opinyon niya.
Saan ka bumibili ng gulay?,Where do you buy vegetables?,Asa ka nagpalit og utanon?
Buksan mo ang mata mo.,Open your eyes.,Abreha ang mga mata nimo.
Talagang tama siya.,He was absolutely right.,Tiunuod nga tama siya.
Nagprapranses ba sa Kanada?,Do you speak French in Canada?,Nagpapranses ba sa Kanada?
Lumingon ka!,Turn around!,Lingi ka!
Ang Sapporo ang ika-5 pinakalaking lungsod sa Hapon.,Sapporo is the 5th largest city in Japan.,Ang Sapporo ang ikalimang pinakadakong lungsod sa Hapon.
Isip ng lahat na pinakabigat ang sako niya.,Everyone thinks that his sack is the heaviest.,Hunahuna sa tanan nga pinakabug at ang sako niya.
Aalis tayo bukas nang umaga.,We leave tomorrow morning.,Muhawa ta ugma sa buntag.
Ang panunulat na pansarili ang pinakapuripuring paraan ng magtamo ng libro.,Self-publishing is the best way to get a book.,Ang panulat sa pangkaugalingon ang ginadayeg paagi aron makaangkon og libro.
Walang sabon.,No soap.,Walay sabon.
Nakatindig siya.,He stood up.,Nakatindog siya.
Dalhin mo sa akin ang mga magasin.,Bring me the magazines.,Dalahon nimo sa ako ang mga babasahon.
Pakipaliwanag mo nga.,Please explain.,Pakiesplikar mo beh.
"Nang ako'y nasa kama, pinaparini ko siya.","When I was in bed, I made her sleep.","Katong ako naa sa kama, gipaanhi ko siya."
Lumangoy sila.,They swam.,Nilangoy sila.
Kailangan niya ng payong.,He needs an umbrella.,Kinahangklan niya og payong.
Dalhin mo sa mga lalaki sa kuwartong ika-318.,Take it to the boys in room 318.,Dalahon nimo sa mga lalaki sa kuwartong ika tulo kagatos og dese otso.
"Doon, talagang mali ka.","There, you are absolutely wrong.","Didto, tinuod nga mali ka."
"Sa ilog, nahuli nila ang sangkatutak ng isda.","In the river, they caught a big fish.","Sa sapa, nakadakop sila og daghang isda."
Ang daigdig ay sa matapang.,The world belongs to the brave.,Ang kalibutan kay sa isog.
Pinaligtas namin kayo sa malaking dalita.,We have saved you from great poverty.,Gipangluwas namo kamo sa dakong pag-antos.
Iyon ang huling bagay na gusto kong gawin.,That's the last thing I want to do.,Kato ang katapusang butang nga gustong kong buhaton.
Gusto ko ng gitara.,I want a guitar.,Gusto nako og gitara.
Dalhin mo ako sa hepe mo.,Take me to your boss.,Dalaka ko sa hepe nimo.
Walang laman ang lata.,The can is empty.,Wlay sulod ang lata.
Maiitanda ba ang petsa ng may naging wika?,Can the date of language change be recorded?,Matiman an ba ang petsa nga adunay nahimong pinulongan? ?
Anong klaseng tanong! ang masasabi.,What a question! can be said.,Unsang klaseng pangutana!? ang makaingon.
"Gayon man, may petsang ganoon: ang ika-26 ng Hulyo ang Araw ng Esperanto.","However, there is such a date: the 26th of July is Esperanto Day.","Maskin man, adunay petsang ing ana; Ang ika-26 sa Hulyo ang Adlaw ng Esperanto."
"Nang petsang ito noong 1887, lumabas sa Warsaw ang brosyur ni Doktor Ludwig Zamenhof tungkol sa ""Pandaigdigang Wika.""","On this date in 1887, Doctor Ludwig Zamenhof's pamphlet on the ""World Language"" appeared in Warsaw.","Na ang petsa kining 1887, nigawas sa Warsaw ang brosyur ni Doktor Ludwig Zamenhog mahitungod sa ?Pangkalibutanong Pinulongan.?"
Isa sa atin ang dapat gagawa nito.,One of us must do it.,Isa sa ato ang kinahangklan muhimo niini.
Di mo alam kung ano ang pinag-uusapan namin.,You don't know what we are talking about.,Wala ka kabalo kon unsa ang giestoryahan namo.
Totoo itong kuwento.,This is a true story.,Tinuod ning estorya.
Huwag mong abalahin ako nang nag-aaral.,Don't bother me when I'm studying.,Ayaw ko samoka kon nagtuon.
Tinuloy ko ang pagbabasa.,I continued reading.,Gipadayon nako ang pagbasa.
Tumutuloy ang buhay.,Life goes on.,Nagapadayon ang kinabuhi.
Ginawa mo ba?,did you do,Gihimo ba nimo?
Nakita ko siya sa piyesta.,I saw him at the party.,Nakita nako siya sa piyesta.
Nakikita roon sa likod ng malaking puting gusali.,Seen there behind the big white building.,Makita sa likod ang dakong puti nga dakbalay.
"Nang umalis siya ng kuwarto, pinatay niya ang ilaw.","When he left the room, he turned off the light.","Katong mihawa siya sa kuwarto, gipalong niya ang suga."
Mahal din niya ang mga aklat.,He also loves books.,Gihigugma pod niya ang mga libro.
Parang may sakit ang aso.,The dog looks sick.,Murag naay sakit ang iro.
Itong simponiya'y talagang obra maestra.,This symphony is truly a masterpiece.,Kining simponiya kay tinuod nga obra maestra.
Magaling na tagaluto si Tomas.,Tomas is a good cook.,Hawod ang tagaluto ni Tomas.
Kay gandang araw!,What a beautiful day!,Kaanyag sa adlaw!
Ang nahanap mo'y iyo na!,What you find is yours!,Ang nakita mo kay imo na!
Ba't di siya pumunta?,Why didn't he go?,Nganong wala siya niadto?
Itanda mo nang pula ang anumang di mo naiintindihan at itanong mo sa klase.,Mark in red anything you don't understand and ask the class.,Timan an mo og pula ang unsa mang dili nimo masabtan ug ipangutana nimo sa klase.
Gusto naming lumangoy sa karagatan.,We want to swim in the ocean.,Gusto namo ang mulangoy sa lawod.
Nagwowori kami sa inyo.,We pray for you.,Nabalaka kami sa inyo.
Patapos ang biyahe sa Paris.,The trip ends in Paris.,Pahuman ang biyahe sa Paris.
Ang sinasabi't ang ginagawa'y magkaiba.,What is said and what is done are different.,Ang ginasulti ug ang ginabuhat kay managlahi.
Ang kalungkutan ay ang pinakabilis na daan papunta sa mas mahusay.,Sadness is the fastest way to better.,Ang kasubo ang pinakadali nga paagi padulong sa mas maayo.
Ang pagmamahal ang palaging magiging pakay ng kaninumang pangungutya.,Love will always be the target of anyone's scorn.,Ang paghigugma ang pirmi mahimong tuyo sa kon kinsang mangdaot.
Baka umulan sa gabi.,It might rain at night.,Basin muolan sa gabii.
Kinain mo na ang keyk.,You've eaten the cake.,Kaona na ang keyk.
Nahihiya siya sa kanyang pagayon-gayon.,He was ashamed of his behavior.,Naulaw siya sa iyang katamad.
Sumusuot sa lahat ng mga kultura ang mga pangkaraniwang sinulid.,Common threads are worn in all cultures.,Niagi ang tanang mga kultura sa mga salabutang pinulungan.
Kumain siya ng tinapay na may mantikilya.,He ate bread with butter.,Nikaon siya og pan nga adunay mantekilya.
Dapat sabihin mo na sa akin.,You should tell me.,Kinahanglan isulti na nimo sa ko.
"Gusto mo ba ang bagong mundong titirhan, ang salamin ng iyong pinakalalim at pinakatunay na nais?","Do you want a new world to live in, a reflection of your deepest and truest desires?","Gusto ba nimo ang bag-ong kalibutan puy-an, ang espeho sa imong pinakailalom ug pinakatinuod na gusto."
Ang manunula'y nagsusulat ng tula mula nitong umaga.,The poet has been writing poetry since this morning.,Ang magbabalak kay nagsulat og tula gikan niining buntag.
Anong tinitingnan mo?,What are you looking at?,Unsa ang ginatan aw nimo?
Nakakaaburido ba ang perpeksiyon?,Is perfection boring?,Makasapot ba ang kahingpitan?
Kami'y di pagod.,We are not tired.,Kami kay wala gikapoy.
Maraming otel sa dawntawn.,There are many hotels in dawntawn.,Daghang abtanan sa sentro.
Ang aking mata'y karagatan na sinasalamin ang mga pangarap ko.,My eyes are an ocean that reflects my dreams.,Ang akong mata kay lawod nga gisaminan sa mga pangandoy ko.
Mahalaga ang buhay sa akin.,Life is important to me.,Bilihon ang kinabuhi sa ako.
Madaling-madaling idrowing ang bandera ng Hapon.,Easy to draw the Japanese flag.,Sayon ihulagway ang bandera sa Hapon.
Anong tawag ng mga kaibigan mo sa iyo?,What do your friends call you?,Unsa ang tawag sa mga higala nimo sa imo?
Talagang mahusay ang sine.,The movie is really good.,Tinuod nga maayo ang sinehan.
Nagsisinungaling ka nang parang magasin!,You lie like a magazine!,Namakak ka nga murag magasin.
Isip ko'y gutom ka.,I think you are hungry.,Hunahuna nako kay gigutom ka.
Anong masasabi mo sa kape pa nga ba?,What can you even say about coffee?,Unsang masulti nimo sa kape pa nga bi?
"Matanda na baga siya, malusog naman at aktibo.","He is old, healthy and active.","Tiguwang na baya siya, himsog man pod ug malihukon."
Gawa sa kahoy ang bahay ni Kuki.,Kuki's house is made of wood.,Gibuhat sa kahoy ang balay ni Kuki.
"Kung minsan, kinukumpara ng tao ang kamatayan sa pagtulog.",Sometimes people compare death to sleep.,"Kon usahay, ginakumpara sa tao ang kamatayon sa pagtulog."
"Alam namin ang katotohanan, di lamang sa utak, pero sa puso rin.","We know the truth, not only in the brain, but also in the heart.","Kabalo kami sa kamatuoran, dili lamang sa utok, apan sa kasingkasing pod."
Tumawa siya hanggang luha.,He laughed to tears.,Nikatawa siya hangtud luha.
Magsayaw ba tayo?,Shall we dance?,Magsayaw ba kita?
Talagang simple.,Really simple.,Tinuod nga masayon.
Pinasara ko kay Tomas ang pinto.,I closed the door on Tomas.,Gipasirado ko kay Tomas ang pultahan.
Sira itong radyo.,This radio is broken.,Guba kining radyo.
Masaya ako nung narito ka.,I was happy when you were here.,Malipayon ako katong diria ka.
Di lahat tayo'y pupunta.,Not all of us will go.,Dili tanan kita muadto.
Dapat kumilos ka nang mas paham.,You should act more sensibly.,Dapat mulihok ka na mas eskolar.
Talagang mabilis siyang lumangoy.,He swims really fast.,Tinuod jud na paspas siya mulangoy.
"Ang gusaling tukudlangit ba'y malaking bagay sa malayo, o maliit na bagay sa malapit?","Is the building in the sky a big thing in the distance, or a small thing near?","Ang dakbalay nga tag-as ba kay dakong butang sa layo, o gamay nga butang sa duol?"
Nahulog ang mansanas galing sa puno.,The apple fell from the tree.,Nahulog ang mansanas gikan sa punuan.
Sinumang nakakaintindi ng musika'y nakakasabi bang mahusay ang pagtunog niya?,Anyone who understands music can say he sounds great?,Kinsa man ang nakasabot sa tukar kay makaingon ba nga maayo ang pagpatingog niya?
Sa pulong iyo'y walang buhay.,In the meeting you have no life.,Sa kato na isla kay walay kinabuhi.
Dapat sila'y may mga ideyang pangahas.,They must have daring ideas.,Kinahanglan sila anaay mga ideyang kuyaw.
May bahay sa burol.,There is a house on the hill.,Adunay balay sa buntod.
Magaling ang marka ko sa Ingles.,My English score is good.,Maayo ang marka nako sa Ingles.
Nagtitinapay sa hurno.,Baking in the oven.,Nagbuhat og pan sa pugon.
Talagang bisi siya buong araw.,He was really busy all day.,Tinuod nga bisi nga sa tibuok adlaw.
Nawala siya sa iniisip niya.,He was lost in his thoughts.,Nawala siya sa hunahuna niya.
Kailangan mong mag-almusal.,You have to have breakfast.,Kinahanglan nimo mamahaw.
May pub sa paligid ng kanto.,There is a pub around the corner.,May balay kalingawan sa duol nga kanto.
Nagdala ako ng kendi para sa mga bata.,I brought candy for the children.,Nagdala ko og kendi para sa mga bata.
Parati kang kumakanta.,You always sing.,Pirmi ka nagakanta.
Ang Tiyera'y di perpektong globo.,Tiyera is not a perfect sphere.,Ang kalibutan kay dili hingpit nga globo.
Naubusan tayo ng krema.,We ran out of cream.,Nahutdan kita og krema.
Ulitin mo!,Do it again!,Usabon nimo.
Naramdaman ko ang pawis ay tumutulo sa kilay ko.,I felt sweat dripping down my brow.,Nabati ko nga ang singot kay nitulo sna a kilay nako.
Anong nakagising sa iyo?,What woke you up?,Unsa ang nakapamata sa imo?
Ipinatalastas ni Tomas na nakakita siya ng UFO.,Tomas announces that he saw a UFO.,Imantala ni Tomas nga nakakita siya og UFO.
Gusto ko ang mga bungang katulad ng ubas at peach.,I like fruits like grapes and peaches.,Gusto nako ang mga bunga
"Ang Proxima Centauri, o kung tawagin ay Alpha Centauri C, ay ang pinakalapit na bituwin sa ating Araw, o Sol.","Proxima Centauri, or as it is called Alpha Centauri C, is the closest star to our Sun, or Sol.","Ang Proxima Centauri, o kon tawagon kay Alpha Centauri, kay ang pinakaduol na bituon sa atuang adlaw. o Sol."
Ang Tiyera'y ikatlong planeta sa ating Sistemang Pang-araw na may walong planeta.,Tiyera is the third planet in our Solar System with eight planets.,Ang Tiyera kay ikatulong lawangitan sa atong Sistema Pang adlaw adlaw nga adunay walong lawangitan.
May lahing bampira raw siya.,He is said to be a vampire.,Adunay kaliwat nga bampira daw sila.
Ano ba ang kaibahan ng bampira at tao?,What is the difference between a vampire and a human?,Unsa ang kalahian sa bampira og tao?
Nawala na sa likod ng bahay ang puno ng tseri na ipinagsamang iba-ibang lahi.,The cherry tree that was mixed with different species has disappeared behind the house.,Nawala na sa likod sa balay ang punuan sa tseri nga gisagolan og lain-laing kaliwat.
Mahal ni Tomas ang mga lansangang Aleman.,Tomas loves German streets.,Gihigugma ni Tomas ang mga klyeng Aleman.
Iba-ibang klaseng mga supling ang ipinagsama sa puno ng tseri.,Different types of offspring are included in the cherry tree.,Lain-laing klase mga liwat ang gisagol sa punuan sa tseri.
Taga-Brasil ako.,I'm from Brazil.,Taga-Brasil ko.
Gusto mo ba ng bunduking keso?,Do you like grated cheese?,Gusto ba nimo ug buntod nga keso?
Binisita ko na ang Estados Unidos.,I have visited the United States.,Gibisita na nako ang Estados Unidos.
Labis nang husto ang ginawa mo.,You did very well.,Sobra nga sakto na ang gihimo nimo.
Ang Kanada'y parang Estados Unidos din.,Canada is also like the United States.,Ang Kanada kay murag Estados Unidos pod.
Nakapunta ka na ba sa nayong iyon?,Have you been to that village?,Nakaadto na ba ka sa baryo ka kadto?
Tinapos mo na bang basahin ang libro?,Have you finished reading the book?,Gihuman na ba nimo og basa ang libro?
Tinapos mo na bang basahin ang aklat?,Have you finished reading the book?,Gihuman na ba nimo og basa ang libro?
Binasa ko ang lahat ng aklat.,I read all the books.,Gibasa nako ang tanan sa libro.
Nagligo't nagbihis siya.,He showered and got dressed.,Naligo ug nag-ilis siya.
"Magaling na party, ano?","Great party, huh?","Maayo na parti, unsa?"
Gutom ako.,I'm hungry,Gutom ko.
May tiya ako sa Los Angeles.,I have an aunt in Los Angeles.,May iyaan ko sa Los Angeles.
Magsimula tayo sa ika-10 leksiyon.,Let's start with the 10th lesson.,Masugod kita sa ikapulo nga leksyon.
Napapaiyak si Tomas.,Tomas was crying.,Nakahilak si Tomas.
Binisita ko siya kahapon.,I visited him yesterday.,Gibisita nako siya gahapon.
Gusto mong maghapunan nang kasama ako nitong gabi?,Do you want to have dinner with me tonight?,Gusto nimo manihapon nga kauban ko karong gabii?
Ganoong kadilim na di makakita nang klaro.,It's so dark that you can't see clearly.,Unsa kangitngit nga dili makita og klaro.
Masyadong madilim para magbasa ng libro diyan.,It's too dark to read a book there.,Ngitngit kaayo aron magbasa og libro diha.
Masyadong madilim para maglaro sa labas.,It's too dark to play outside.,Ngitngit kaayo aron magdula sa gawas.
Di-kailanman ni Tomas sinabi na gusto niyang umalis.,Tomas never said he wanted to leave.,Wala nungka ni Tomas nga niingon nga gusto niya muhawa.
"Kung may pera, ang katahimikan man ay nagiging elokwent.","With money, even silence becomes eloquent.","Kung adunay kwarta, ang kahilomon man kay mahimong hawud manulti."
Nawala ko ang relo ko.,I lost my watch.,Nawala nako ang akong relo.
Ang lalagyan ko ng mga aklat ay sapat na malalim na kasiya na ang mga malalaking diksiyunaryo.,My bookcase is deep enough to hold large dictionaries.,"Ang butangan nako og libro kay husto na lalom na, sakto na ang mga dagkong pinulungan."
Masyadong maliit ang Tiyera.,Tiyera is too small.,Gamay kaayo ang Tiyera.
"Pininturahang puti, parang mas malaki itong bahay.","Painted white, it looks like a bigger house.","Gipintalan og puti, aron mas dako kining balay."
"Sori po, puno na kami ngayon.","Sorry, we are full now.","Pasaylua, puno na kami karon."
Ayaw nilang tumanda pa.,They don't want to grow old.,Dili sila matiguwang pa.
Malungkot sila dahil alam nilang tumatanda sila.,They are sad because they know they are getting old.,Nagsubo sila kay kabalo sila nga tigulang na sila.
May taong naniniwala na sakit ang tumatanda.,Some people believe that aging is a disease.,Adunay tao nga nituo nga sakit ang katigulangon.
Magdrowing tayo.,Let's draw.,Maghulaway kita.
Talagang di ako makalangoy.,I really can't swim.,Tinuod nga dili ako makalangoy.
Ba't walang asul na gamibeyr?,Why isn't there a blue suit?,Nganong walay asul nga gamibeyr?
Takot siya sa dagat.,He is afraid of the sea.,Hadlok siya sa dagat.
Di-kailanman napakatanda para mag-aral.,Never too old to learn.,Nungka tiguwang na aron magtuon.
