tagalog,english,cebuano,kapampangan,bicolano
Gumawa si Vito ng bahay na kawayan.,Vito built a bamboo house.,Nagbuhat og balayng kawayan si Vito.,Pepagawa yang bale kwayan i Vito.,Nagtugdok nin harong na gibo sa kawayan si Vito.
Kawayan ang antigong templo nila.,Their ancient temple is made of bamboo.,kawayan ilang karaan na templo.,Gawa ya keng kawayan ing karelang matuang templo.,An saindang suanoy na templo gibo sa kawayan.
Dapat masabihan si Tom na hindi dapat niya iyon gawin.,Tom should be told he shouldn't do that.,Maignan dapat to si Tom nga dili to buhaton.,dapat sabyan da kang tom na ali ya dapat gawan ita.,Dapat sabihan si Tom na dai niya dapat gibohon iyan.
Maraming bulaklak sa hardin ni Juan.,There are many flowers in Juan's garden.,Daghan og bulak sa tanaman ni Juan.,Dakal lang bulaklak king mula nang Juan.,Dakul an burak sa hardin ni Juan.
May mga alitaptap sa bukid sa gabi.,There are fireflies in the field at night.,Naay mga aninipot sa bukid taga gabii.,Ating alitaptap king marangle neng bengi.,May mga alibangbang sa natad kun banggi.
May mga kalabaw sa bukid ni Juan.,There are buffaloes in Juan's farm.,Naay mgaa kabaw sa bukid ni Juan.,Atin kalabaw king marangle nang Juan.,May mga karabaw sa oma ni Juan.
May mga kambing sa bukid ni Juan.,There are goats in Juan's farm.,Naay mga kambing sa bukid ni Juan.,Ating kambing king marangle nang Juan.,May mga kanding sa oma ni Juan.
May mga manok sa bukid ni Juan.,There are chickens in Juan's farm.,Naay mga manok sa bukid ni Juan.,Ating manuk king marangle nang Juan.,May mga manok sa oma ni Juan.
May mga baboy sa bukid ni Juan.,There are pigs in Juan's farm.,Naay mga baboy sa bukid ni Juan.,Ating babi king marangle nang Juan.,May mga baboy sa oma ni Juan.
May mga baka sa bukid ni Juan.,There are cows in Juan's farm.,Naay mga baka sa bukid ni Juan.,Ating damulag king marangle nang Juan.,May mga baka sa oma ni Juan.
May mga kabayo sa bukid ni Juan.,There are horses in Juan's farm.,Naay mga kabayo sa bukid ni Juan.,Ating kabayu king marangle nang Juan.,May mga kabayo sa oma ni Juan.
May mga aso sa bukid ni Juan.,There are dogs in Juan's farm.,Naay mga iro sa bukid ni Juan.,Ating asu king marangle nang Juan.,May mga ayam sa oma ni Juan.
May mga pusa sa bukid ni Juan.,There are cats in Juan's farm.,Naay mga iring sa bukid ni Juan.,Ating pusa king marangle nang Juan.,May mga pusa sa oma ni Juan.
May mga gumamela sa hardin ni Juan.,Some wandered into Juan's garden.,Naay mga gumamela sa tanaman ni Juan.,Ating miglakbe king mula nang Juan.,An iba naglagaw-lagaw sa hardin ni Juan.
May mga rosas sa hardin ni Juan.,There are roses in John's garden.,Naay mga rosas sa tanaman ni Juan.,Ating rosas king mula nang Juan.,May mga rosas sa hardin ni Juan.
May mga puno ng saging sa hardin ni Juan.,There are banana trees in Juan's garden.,Naay mga puno sa saging sa tanaman ni Juan.,Ating tanaman a saging king mula nang Juan.,May mga poon nin saging sa hardin ni Juan.
May mga puno ng mansanas sa hardin ni Juan.,There are apple trees in John's garden.,Naay mga puno sa mansanas sa tanaman ni Juan.,Ating tanaman a mansanas king mula nang Juan.,May mga poon nin mansanas sa hardin ni Juan.
May mga puno ng langka sa hardin ni Juan.,There are jackfruit trees in Juan's garden.,Naay mga puno sa langka sa tanaman ni Juan.,Ating langka king mula nang Juan.,May mga poon nin langka sa hardin ni Juan.
May mga puno ng mangga sa hardin ni Juan.,There are mango trees in Juan's garden.,Naay mga puno sa magga sa tanaman ni Juan.,Ating tanaman a mangga king mula nang Juan.,May mga kahoy na mangga sa hardin ni Juan.
May mga puno ng dalandan sa hardin ni Juan.,There are orange trees in John's garden.,Naay punuan sa orens sa tanaman ni Juan.,Ating pun dutung a orange king mula nang Juan.,Igwa nin mga kahoy na kahel sa hardin ni Juan.
May mga puno ng makopa sa hardin ni Juan.,There are makopa trees in Juan's garden.,Naay mga punuan sa makopa ang tanaman ni Juan.,Ating tanaman a makopa king mula nang Juan.,May mga poon nin makopa sa hardin ni Juan.
May mga puno ng duhat sa hardin ni Juan.,There are fig trees in Juan's garden.,Naay mga punuan sa duhat ang tanaman ni Juan.,Ating tanaman a higera king mula nang Juan.,May mga kahoy na higera sa hardin ni Juan.
May mga puno ng peras sa hardin ni Juan.,There are pear trees in John's garden.,Naay mga punuan sa peras ang tanaman ni Juan.,Ating tanaman a peras king mula nang Juan.,May mga kahoy na peras sa hardin ni Juan.
Manatili sa bahay.,Stay at home.,Magpondo sa balay.,Manatili tamu pu king bale.,Magtinir sa harong.
Gusto mo bang magkaanak?,Do you want to have children?,Gusto ka magka-anak?,Buri mu bang mika anak ka?,Gusto mong magkaigwa nin mga aki?
Sa ika-21 ng Agosto ang kaarawan niya.,His birthday is on the 21st of August.,Sa ika-21 sa Agosto ang iyang adlawng natawhan.,Ing kayang aldo kebaitan king ka-21 ning Agostu.,An saiyang kumpleanyo sa ika-21 kan Agosto.
Naaasar si Julian sa kaklase niya.,Julian is annoyed by his classmate.,Nasamokan si Julian sa iyang klasmet.,Mainis ya i Julian keng kaklasi na.,Naiiritar si Julian sa kaklase niya.
Windang ang puso ko.,My heart is broken.,Gigisi ang akong kasingkasing.,Ing pusu ku mesira ya.,An sakuyang puso nabari.
Sino ang gumawa ng opisyal na pook-sapot para sa paaralan?,Who made the official uniform for the school?,Kinsa ang naghimo sa opisyal nga websayt alang sa eskwelahan?,Ninu ing ginawa king opisyal a unipormi para king eskwela?,Siisay an naggibo kan opisyal na uniporme para sa eskwelahan?
Sumulat ang mga mag-aaral ng sulatroniko para humingi ng pahintulot sa kanilang punong-guro.,The students wrote a letter asking their principal for permission.,Ang mga estudyante nagsulat og sulatroniko aron makapangayo pagtugot sa ilang prinsipal.,Sinulat lang sulat ding estudyanti para manyawad paintulut king karelang principal.,Nagsurat an mga estudyante na naghahagad nin permiso sa saindang prinsipal.
Ginagamit ang salakot para maiwasan ang init ng araw.,Salakot is used to avoid the heat of the sun.,Gigamit ang salakot aron mapugngan ang kainit sa adlaw.,Ing salakot gagamitan de bang makaiwas king pali ning aldo.,Piggagamit an Salakot tanganing maibitaran an init kan saldang.
Nagsiksikan ang madla sa maliit na bulwagan sa araw ng pagtatapos ng mga estudyante.,The audience packed the small hall on the day of the students' graduation.,Nagdasok ang mga tawo sa gamay nga hawanan sa katapusang adlaw sa klase.,Megpack la reng manalbe king malating hall king aldo ning pamag-graduate da reng magaral.,Napano an mga nagdadangog sa sadit na hall kan aldaw kan gradwasyon kan mga estudyante.
Nasa harap ko si Tom sa klase namin sa haynayan.,Tom is in front of me in our class in haynayan.,Naa sa akong atubangan si Tom sa among klase sa haynayan.,I Tom ing arap ku keng klase mi keng haynayan.,Naa sa tubang nako si Tom sa among klase sa haynayan.
Nasa harap ko si Tom sa klase namin sa biyolohiya.,Tom was in front of me in our biology class.,Naa sa akong atubangan si Tom sa among klase sa biyolohiya.,I Tom atyu ya keng arap ku keng biology class mi.,Yaon sa atubangan ko si Tom sa samong klase sa biolohiya.
Pabugso-bugso ang ulan ngayong buwan ng Agosto.,The rain is torrential this month of August.,Kusog ang ulan karong Agosto.,Masikan ing uran ngening bulan ning Agostu.,Makusog an uran ngonian na bulan nin Agosto.
Naririnig mo ba ang ugong ng mga makina sa pabrika?,Do you hear the hum of the machines in the factory?,Nabati ba nimo ang dahunog sa mga makina sa pabrika?,Dimdam mu ing bulung da reng makina keng pabrika?,Nadadangog mo an huni kan mga makina sa pabrika?
Isa ito sa pinakamarikit na takipsilim na natanaw ko.,It was one of the most beautiful sunsets I have ever seen.,Kini ang usa sa labing pinakanindtot nga kilumkilom nga akong nakita.,Metung ya kareng pekamasanting a sunset a ikit ku.,Saro idto sa pinakamagayon na pagsolnop kan saldang na nahiling ko kasuarin man.
Marikit itong espada.,This is a beautiful sword.,Matahum kini nga sundang.,Masanting yang espada ini.,Ini sarong magayon na espada.
Marikit ang tanawin.,The view is beautiful.,Matahum ang talan-awon.,Masanting ya ing tanawin.,Magayon an tanawon.
Maganda ang tanawin.,The view is beautiful.,Nindot ang talan-awon.,Masanting ya ing tanawin.,Magayon an tanawon.
"Ang ganda niya, 'di ba?","She's beautiful, isn't she?",Gwapa kay siya nu?,Malagu ya ne?,"Magayon siya, bako?"
"Marikit siya, no?","She's beautiful, isn't she?","Gwapa siya, no?",Malagu ya ne?,"Magayon siya, bako?"
Marikit talaga ang buwan sa taglagas.,The moon is really beautiful in autumn.,Nindot gyud ang buwan sa tingdagdag.,Masanting ya talaga ing bulan keng taglagas.,An bulan talagang magayon sa tigrakdag.
Maganda ba ako sa tingin mo?,Do you think I'm pretty?,Gwapa ko sa imong panan-aw?,Isipan mu ba malagu ku?,Sa hiling mo magayon ako?
Masyado akong maganda para sa mundong ito.,I'm too beautiful for this world.,Gwapa ra kayko aning kalibutana.,Masyadu kung malagu keng yatung ayni.,Masyado akong magayon para sa kinaban na ini.
Hindi ako baliw!,I'm not crazy!,Dili ko buang!,Eku man baliw!,Dai ako nabubuang!
"Siya ang baliw, hindi ako.","He's the crazy one, not me.","Siya ang buang, dili ako.","Iya ing baliw, ali aku.","Siya an buang, bako ako."
Kausap ko ang anino ko.,I am talking to my shadow.,Ka-istorya nako akong anino.,Magsalita ku keng anino ku.,Nakikipag-olay ako sa sakuyang anino.
Kita ba ang anino ko?,Do you see my shadow?,Maklaro ba akong anino?,Akakit me ing anino ku?,Nahihiling mo an sakuyang anino?
Sino ang nauna mong guro sa Pranses?,Who was your first French teacher?,Kinsa ang imong una nga magtutudlo sa Pransya?,Ninu ing mumunang talaturu mu keng French?,Siisay an saimong enot na paratukdo nin Pranses?
Dinig ang halakhak ng mga bata mula sa malayo.,Children's laughter was heard from a distance.,Dungog kaayo ang katawa sa mga bata gikan sa layo.,Dimdam da ing tawa da reng anak manibat king marayu.,An tawa kan mga aki nadangog sa harayo.
Paborito kong klase ang haynayan.,My favorite class is chicken.,Haynayan akong paborito sa klase.,Ing paborito kung klasing manuk.,An paborito kong klase iyo an manok.
Marikit ang mga mata niya.,His eyes are beautiful.,Nindot iyang mata.,Masanting la reng mata na.,Magayon an saiyang mga mata.
Alin ang mas marikit: sampaguita o ilang-ilang?,Which is more beautiful: tulips or several?,Hain ang labi ka matahum: sampaguita o ilang-ilang?,Nanu ing mas masanting: tulip o mapilan?,Arin an mas magayon: mga tulip o nagkapira?
Bakit mo nilalandi ang baliw?,Why are you flirting with the crazy?,Nganong gina-uwag nimo ang buang?,Bakit ka lalandi kareng baliw?,Tano ta pigliligaw mo an mga loko?
"Naiintindihan niya ang hindi maintindihan ng iba, kaya tinagurian siyang baliw.","He understands what others do not, so he is called crazy.","Makasabot siya sa dili masabtan sa uban, maong gitawag siyag buang.","Aintindian na ing e ra aintindian ding aliwa, inya ausan deng baliw.","Nasasabotan nia an dai nasasabotan kan iba, kaya inaapod siang buang."
"Matalino ba siya, o baliw?","Is he smart, or crazy?",Utokan na siya?,"Matalino ya, o mabaliw ya?","Matalino daw siya, o buang?"
Kinakabahan ka ba?,Are you nervous?,Nakulbaan ka?,Mababalisa ka?,Kinakabahan ka?
Sang-ayon ako.,I agree.,Miuyon ko.,agyu ku.,Minaoyon ako.
Nakalimutan ko.,I forgot.,Nakalimot ko.,akalingwan ku.,Nalingawan ko.
Nanalo ako!,I won!,Nakadaog ko!,sinambut ku!,Nanggana ako!
Nadapa ako.,I tripped.,Nadakin-as ko.,menabu ku.,Natipak ako.
Pangako ko.,I promise.,Saad nako.,pangaku ku.,Nanunuga ako.
Nataranta ako.,I was confused.,Naratol ko.,megulu ku.,Nalibog ako.
May ambag ako.,I have something to contribute.,Naa koy natabang.,Atin kung a-ambag.,Igwa akong maiambag.
Umamin ako.,I confess.,Nitug-an ko.,Aminan ku.,Ako nagtutuga.
Humingi ako ng tawad.,I asked for forgiveness.,Nangayo kog pasaylo.,Menyad kung tawad.,Naghagad ako nin tawad.
Umalis ako.,I left.,Nihawa ko.,Meko ku.,Naghale ako.
Nangako ako.,I promised.,Nagsaad ko.,pengaku ku.,Nangako ako.
Bagsak ako.,I fell.,Bagsak ko.,menabu ku.,Nahulog ako.
Natulog ako.,I fell asleep.,Natulog ko.,metudtud ku.,Nakaturog ako.
Ngumiti ako.,I smiled.,Ningisi ko.,ngumi ku.,Nagngirit ako.
Ayaw ko.,I don't want,Dili ko.,Eku buri,Habo ko
Nagsinungaling ako.,I lied.,Namangak ko.,miglaram ku.,Nagputik ako.
Tumakbo ako.,I ran.,Nidagan ko.,tinakas ku.,Nagdalagan ako.
Nanalo ako.,I won.,Daog ko.,sinambut ku.,Nanggana ako.
Nagbayad ako.,I paid.,Nibayad ko.,Memayad ku.,Nagbayad ako.
Naglalangoy ako.,I am swimming.,Naglangoylangoy ko.,Maglango ku.,Naglalangoy ako.
Yumuko ako.,I bow down.,Niduko ko.,duku ku.,Nagduko ako.
Umiyak ako.,I cried.,Nihilak ko.,menangis ku.,Naghibi ako.
Nagmamaneho ako.,I'm driving.,Naga-drayb ko.,magmaneho ku.,Nagmamaneho ako.
Nagmaneho ako.,I drove.,Nagdrayb ko.,Megmaneho ku.,Nagmaneho ako.
Humihilik ako.,I snooze.,Nagahagok ko.,matudtud ku.,Nagtuturog ako.
Tumayo ako.,I stood up.,Nitindog ko.,tinalakad ku.,Nagtindog ako.
Nagsumpa ako.,I swore.,Nanumpa ko.,sinumpa ku.,Nagsumpa ako.
Kumaway ako.,I waved.,Mikaway ko.,kinaway ku.,Nagkaway ako.
Sumayaw ako.,I danced.,Nisayaw ko.,sinayaw ku.,Nagbayle ako.
Tumulong ako.,I helped.,Nitabang ko.,sinaup ku.,Nagtabang ako.
Tumalon ako.,I jumped.,Niambak ko.,linundag ku.,Naglukso ako.
Sumunod ako.,I followed.,Nisunod ko.,tinuki ku.,Nagsunod ako.
Huminto ako.,I stopped.,Niundang ko.,tinuknang ku.,Nagpundo ako.
Nagdasal ako.,I prayed.,Nag-ampo ko.,menalangin ku.,Namibi ako.
Nag-ahit ako.,I shaved.,Nag-ahit ko.,Meg-ahit ku.,Nag-ahit ako.
Kumindat ako.,I winked.,Mikidhat ko.,Kindat ku.,Nagkindat ako.
Humikab ako.,I yawned.,Nakahibi ko.,mig-yawn ku.,Nag-agaw ako.
Pumikit ako.,I closed my eyes.,Nipiyong ko.,Pinikit ku la reng mata ku.,Pinikit ko an sakong mga mata.
Nandaya ako.,I cheated.,Nanikas ko.,Megloko ku.,Nagloko ako.
Umubo ako.,I coughed.,Niubo ko.,mengubo ku.,Nag-ubo ako.
Tumakas ako.,I ran away.,Nitakas ko.,Tinakas ku.,Nagdalagan ako.
Sumimangot ako.,I frowned.,Nagmug-ot ko.,kinumutan ke ing buntuk ku.,Nagkunot an noo ko.
Nagbayad na ako.,I have paid.,Nibayad nako.,Memayad ku.,Nagbayad na ako.
Nadulas ako.,I slipped.,Nadakin-as ko.,Medulas ku.,Nadulas ako.
Tumigil ako.,I stopped.,Mihunong ko.,tinuknang ku.,Nagpundo ako.
Pinagpawisan ako.,I was sweating.,Gipaningot ko.,pawis ku.,Nagpapawis ako.
Nakinig ako.,I listened.,Naminaw ko.,mekiramdam ku.,Nagdangog ako.
Sinong namatay?,Who died?,Kinsay namatay?,ninu ing mete?,Siisay an nagadan?
Sinong nanalo?,Who won?,Kinsay nadaog?,ninu ing sinambut?,Siisay an nanggana?
Sinong dumating?,who came,Kinsay niabot?,ninu ing dinatang,na nag-abot
Sinong may ambag?,Who contributed?,Kinsay naay natabang?,Ninu ing sinaup?,Siisay an nagkontribwir?
Sino ang hindi sang-ayon?,Who disagrees?,Kinsa ang dili uyon?,ninu ing e makisanmetung?,Siisay an dai minaoyon?
Sinong nataranta?,Who's confused?,Kinsay naratol?,Ninu ing malilitu?,Siisay an nariribaraw?
Sinong tumawag?,who called,Kinsay nanawag?,ninu ing tinawag,na nag-apod
Sinong sumagot?,Who answered?,Kinsay nitubag?,Ninu ing mekibat?,Siisay an nagsimbag?
Sinong nanatili?,Who stayed?,Kinsay nagpabilin?,ninu ing menatili?,Siisay an nagdanay?
Sinong pumirmi?,Who agreed?,Kinsa ang naghusay?,ninu ing mebisa?,Siisay an nag-oyon?
Sinong tumigil?,Who stopped?,Kinsay nihunong?,ninu ing tinuknang?,Siisay an nagpondo?
Sinong tagumpay?,Whose victory?,Kinsa ang kalampusan?,Kaninu ing tagumpe?,Kiisay na kapangganahan?
Sinong naglaho?,Who disappeared?,Kinsa ang nawala?,ninu ing mewala?,Siisay an nawara?
Sinong nagmaneho?,Who drove?,Kinsay nagadrayb?,ninu ing magmaneho?,Siisay an nagmaneho?
Sinong nagbayad?,Who paid?,Kinsay nagbayad?,ninu ing memayad?,Siisay an nagbayad?
Sinong natalo?,Who lost?,Kinsay napildi?,ninu ing mewala?,Siisay an nawara?
Sino ang talo?,Who is the loser?,Kinsay pildi?,Ninu ing talunan?,Siisay an nalugi?
Sinong naghintay?,Who waited?,Kinsay gahulat?,ninu ing menaya?,Siisay an naghalat?
Sinong nag-antay?,Who waited?,Kinsa ang naghulat?,ninu ing menaya?,Siisay an naghalat?
Sinong kumindat?,Who winked?,Kinsa ang nagpangidhat?,ninu ing kinuldas?,Siisay an nagkindat?
Sinong liban?,Who else?,Kinsay wala?,Ninu pa?,Siisay pa?
Sino ang wala?,Who doesn't?,Kinsay wala?,ninu ing ali?,Siisay an dai?
Sino ang nagsulat ng Hamlet?,Who wrote Hamlet?,Kinsay nagsulat sa Hamlet?,Ninu ing sinulat king Hamlet?,Siisay an nagsurat kan Hamlet?
Sino ang nagtayo ng Disneyland?,Who built Disneyland?,Kinsa ang nagbuhat sa Disneyland?,ninu ing ginawa keng disneyland?,Siisay an nagtogdok kan Disneyland?
Sino ang nagsira?,Who broke it?,Kinsay nag-guba?,ninu ing mekasira?,Siisay an nagbari?
Sinong sumira nito?,Who broke it?,Kinsay nag guba ani?,ninu ing mekasira?,Siisay an nagbari?
Sino ang nagtayo?,Who built it?,Kinsa ang nagtukod niini?,Ninu ing menalakad kaniti?,Siisay an nagtogdok kaiyan?
Sino ang gumuhit?,Who drew?,Kinsa ang nagdrawing?,ninu ing migdrowing?,Siisay an nagdrowing?
Sinong susunod?,Who's next?,Kinsay sunod?,Ninu ing susunud?,Siisay an sunod?
Sinong nagsasalita?,Who is speaking?,Kinsa ang nagsulti?,Ninu ing magsalita?,Siisay an nagtataram?
Sino ang mananalo?,Who will win?,Kinsa ang madaog?,Ninu ing manalo?,Siisay an manggagana?
Sino ang pumatay kay Tom?,Who killed Tom?,Kinsa ang nagpatay kang Tom?,ninu ing mekapate kang tom?,Siisay an guminadan ki Tom?
Sinong magbabayad?,Who will pay?,Kinsay mubayad?,Ninu ing mamayad?,Siisay an mababayad?
Sinong tumawag sa akin?,who called me,Kinsay nangita sa ako?,ninu ing minaus kanaku,siisay an nag-apod sako
Sinong nagtitinda nito?,Who sells it?,Kinsa namaligya ani?,Ninung magtinda?,Siisay an nagpapabakal kaiyan?
Sino si Tom?,who is tom,Kinsa si Tom?,ninu ya i tom,sisay si tom
Sinong Tom?,Who is Tom?,Kinsay Tom?,Ninu ya i Tom?,Siisay si Tom?
Sinong tumatawa?,Who's laughing?,Kinsay sigeg katawa?,Ninu ing tatawa?,Siisay an nagngingisi?
Sinong nagrereklamo?,Who's complaining?,Kinsay gareklamo?,Ninung magreklamu?,Siisay an nagrereklamo?
Sino pa ang may alam?,Who else knows?,Kinsa pa ang nakabalo?,Ninu pang makibalu?,Siisay pa an nakakaaram?
Sinong may gusto?,Who wants?,Kinsay ganahan?,ninu ing bisa?,Siisay an gusto?
Mayroon bang gusto ng tsaa?,Does anyone want some tea?,Naay gusto mag tsaa?,Atin bang bisang tsa?,Igwa daw nin gusto nin tsa?
Mayroon bang gusto ng gulaman?,Does anyone like gelatin?,Naay ganahag gulaman?,Atin bang mahilig keng gelatin?,Igwa daw nin gusto nin gelatin?
Sinong nawawala?,Who is missing?,Kinsay nawala?,Ninu ing kulang?,Siisay an nawawara?
Sinong una?,who first,Kinsay una?,ninu ing minuna,na enot
Sino nauna?,Who was first?,Kinsay nauna?,ninu ing minuna?,Siisay an enot?
Sino ang may kailangan?,Who needs it?,Kinsay naay kailangan?,Ninu ing mangailangan?,Siisay an nangangaipo kaiyan?
Sinong dadalo?,Who will attend?,Kinsay mangadto?,Ninu reng munta?,Siisay an maatender?
Sinong bibili?,Who will buy?,Kinsay mamalit?,Ninung sali?,Siisay an mabakal?
Sinong magluluto?,Who will cook?,Kinsay magluto?,Ninung maglutu?,Siisay an magluluto?
Sinong magmamaneho?,Who will drive?,Kinsa may magdrayb?,ninu ing magmaneho?,Siisay an magmamaneho?
Sinong namamatay?,Who dies?,Kinsay himalatyon?,ninu ing mate?,Siisay an nagagadan?
Sinong nag-aayuno?,Who is fasting?,Kinsa ang nagpuasa?,Ninu ing mag-ayunu?,Siisay an nag-aayuno?
Anong nangyari?,What happened?,Unsay nahitabo?,Nanung milyari?,Anong nangyari?
Sayang!,Wasteful!,Sayang!,Sayang!,Sayang!
Anong nawawala?,What's missing?,Unsay nangawala.,Nanung kulang?,Ano an kulang?
Pambihira!,Extraordinary!,Pastilan!,Kapantukaran!,Ekstra ordinaryo!
Anong nangyari dito?,What happened here?,Unsay nahitabo diri?,Nanu ing milyari keni?,Ano an nangyari digdi?
Anong naganap dito?,What happened here?,Unsay nahitabo dinhi?,Nanu ing milyari keni?,Ano an nangyari digdi?
Ano ba talaga ang nangyari?,What really happened?,Unsa gyod ang nahitabo?,Nanu talaga ing milyari?,Ano talaga an nangyari?
Ano ang pag-ibig?,What is love?,Unsa ang gugma?,Nanu ing lugud?,Ano an pagkamoot?
Anong susunod?,What next?,Unsay musunod?,Nanu ing susunud?,Ano an sunod?
Ano pagkatapos?,What then?,Unsay sunod?,Nanu kanita?,Ano kun siring?
Ang kalat!,The mess!,Kakalat!,Ing gulo!,An gulo!
Bakit pa?,Why else?,Ngano pa?,bakit pa?,Tano pa?
Lunes ngayon.,today is monday,Lunes karon.,lunes ngeni,lunes ngonian na aldaw
Gawin mo sa Lunes.,Do it on Monday.,Himua pagka-Lunes.,gawan me keng lunes.,Gibohon ini sa Lunes.
Lunes ba ngayon?,is it monday today?,Lunes ba karon?,lunes na ngeni?,lunes daw ngonian?
Lunes kahapon.,Monday yesterday.,Lunes kagahapon.,Lunis napun.,Lunes kagahapon.
Lunes namatay si Tom.,Tom died on Monday.,Lunes namatay si Tom.,mete ya i tom keng lunes.,Nagadan si Tom kan Lunes.
Namatay si Tom noong Lunes.,Tom died on Monday.,Niadtong Lunes namatay si Tom.,mete ya i tom keng lunes.,Nagadan si Tom kan Lunes.
Ikaw bahala.,It's up to you.,Naa ra nimo.,Atyu keka.,Bahala na kamo.
Talo ka.,You lose.,Pildi ka.,Talo ka.,Napierde ka.
Masipag ka.,You are hardworking.,Kugihan ka.,Masipag ka.,Mahigos ka.
Mali ka.,you are wrong,Sayop ka,mali ka,sala ka
Lasing ka.,you are drunk,Hubog ka.,malasing ka,hubog ka
Tama ang hula mo.,You guessed right.,Tama imong hula.,Ustu ing hula mu.,Tama an saimong hula.
Nasa 'yo ang lahat.,You have everything.,Naa na sa imo ang tanan.,Atin kang sabla.,Igwa ka kan gabos.
Maaga ka.,you are early,Sayo ka.,maaga ka,amay ka
Huli ka.,you are late,Iwit ka.,late ka,huli ka
Kailangan mo ito.,You need it.,Kailangan nimo ni.,kailangan me.,Kaipuhan mo ini.
Tama ka.,you are right,Husto ka.,ustu ka,tama ka
Puti.,White.,Puti.,Maputi.,Puti.
Puti siya.,He is white.,Puti siya.,Maputi ya.,Puti siya.
Puti ba?,is it white,Puti?,maputi ya ba,puti daw ini
Biglang dumilim ang lahat.,Suddenly everything went dark.,Nikalit kangitngit ang tanan.,Bigla yang medalumdum ing sabla.,Biglang nagdiklom an gabos.
Hinimatay si Tom.,Tom passed out.,Nakuyapan si Tom.,Mebigla ya i Tom.,Nadismayo si Tom.
Gusto ko ang asul.,I like blue.,Gusto nako ang asul.,buri ke ing asul.,Gusto ko an asul.
Gusto ko ang bughaw.,I like blue.,Gusto nako ang asul.,buri ke ing asul.,Gusto ko an asul.
Asul ba?,is it blue,Asul ba kini?,asul ya ba,asul daw ini
Bughaw ba?,Is it blue?,Asul ba kini?,Asul ya?,Asul daw ini?
Asul 'yung isa.,The one is blue.,Asul ng usa.,Ing metung asul ya.,An saro asul.
Bughaw 'yung isa.,The one is blue.,Asul ng usa.,Ing metung asul ya.,An saro asul.
Itim ang mga uwak.,Crows are black.,Itom ang mga uwak.,Deng uwak maitim la.,An mga uwak itom.
Puti siya dati.,He used to be white.,Puti siya sauna.,Dati yang maputi.,Puti siya dati.
Itim siya dati.,He used to be black.,Itom siya sauna.,Dati yang maitim.,Dati siyang itom.
Pula sila.,They are red.,Pula sila.,Mapula la.,Pula sinda.
Bagay sa 'yo ang pula.,Red suits you.,Angay sa imo ang pula.,Ing pula makayagpang ya keka.,An pula angay saimo.
Bagay sa 'yo ang itim.,Black suits you.,Angay sa imo ang itom.,Itim ing makayagpang keka.,An itom angay saimo.
Pumutla si Tom.,Tom turned pale.,Nanluspad si Tom.,Meging maputla ya i Tom.,Namutla si Tom.
Puti lahat.,All white.,Puti tanan.,Maputi ngan.,Gabos puti.
Puti ang lahat.,Everything is white.,Puti ang tanan.,Maputi ngan ing sabla.,Puti an gabos.
Itim si Tom.,Tom is black.,Itom si Tom.,I Tom maitim ya.,Si Tom itom.
Gusto ko ang dilaw.,I like yellow.,Ganahan ko sa dalag.,buri ke ing yellow.,Gusto ko an dilaw.
Mas gusto ko ang itim.,I prefer black.,Mas ganahan ko sa itom.,Mas buri ke ing kule kule.,Mas gusto ko an itom.
Pula ang dugo.,Blood is red.,Pula ang dugo.,Mapula ya ing daya.,Pula an dugo.
Duwag ka.,you coward,Talawan ka.,duwag ka,duwag ka
Itim 'yung akin.,Mine is black.,Itom ang ako.,Ing kanaku maitim ya.,An sakuya itom.
Puti si Tom.,Tom is white.,Puti si Tom.,I Tom maputi ya.,Puti si Tom.
Asul ang langit.,The sky is blue.,Asul ang langit.,Ing banua asul ya.,Asul an kalangitan.
Bughaw ang langit.,The sky is blue.,Asul ang langit.,Ing banua asul ya.,Asul an kalangitan.
Namumula ang mukha mo.,Your face is red.,Namula ang imong nawong.,Mapula ya ing lupa mu.,Mapula an saimong lalawgon.
Pula ang kulay nito.,Its color is red.,Pula ang kolor niini.,Mapula ya ing kule na.,Pula an kolor kaini.
Puti ang aso ko.,My dog ​​is white.,Puti ang akong iro.,Ing asu ku maputi ya.,An sakuyang ayam  puti.
Puti ang mga aso ko.,My dogs are white.,Puti ang akong mga iro.,Maputi la reng asu ku.,An sakong mga ayam puti.
Galing!,Awesome!,Makalilisang!,Kagaling!,Makangangalas!
Ano pa ba?,What else?,Unsa pa man?,Nanu pa?,Ano pa?
Mayroon pa ba?,Are there any more?,Naa pa?,Atin pang aliwa?,Igwa pa daw?
Makinig ka pa.,Listen more.,Paminaw pa.,Makiramdam ka pa.,Magdangog pa.
Magsulat ka.,You write.,Pagsulat.,Susulat ka.,Nagsusurat ka.
Huwag ka nang magsugal.,Stop gambling.,Ayaw na pagsugal.,tuknang kang sugal.,Hunong sa pagsugal.
Tigilan mo ang pagsusugal.,Stop gambling.,Undangi na ang sugal.,tuknang kang sugal.,Hunong sa pagsugal.
Tamang-tama.,That's right.,Sakto gyud.,Tutu pin ita.,Tama iyan.
Nakakainis!,Annoying!,Makalagot!,Makabusit!,Makauyam!
Sige pa.,Go ahead.,Padayon.,Muna naka.,Maenot kana.
Magbasa ka pa.,Read on.,Pagbasa pa.,Basa mu pa.,Padagos na magbasa.
Mabaho manigarilyo.,It stinks to smoke.,Baho manigarilyo.,Mabango ya ing asuk.,Mabaho ini sa aso.
